一 一壹
豌 豌
豎 竖
豐 丰
豕 豕
豚 豚
象 象像
豢 豢
豪 豪
豫 豫予预
豬 猪
豸 豸
豹 豹
豺 豺
豼 貔
貂 貂
貅 貅
貉 貉
貊 貊貘
貌 貌
貍 狸
貎 猊
貔 貔
貘 貘貊
貝 贝
貞 贞
負 负
財 财才
貢 贡
貧 贫
貨 货
販 贩
貪 贪
貫 贯
責 责拆
貭 质
貮 二贰
貯 贮
貰 贳
貲 赀
貳 贰二
貴 贵
貶 贬
買 买
貸 贷
費 费
貼 贴
貽 贻
貿 贸
賀 贺
賁 贲
賂 赂
賃 赁
賄 贿
資 资
賈 贾
賊 贼
賍 赃
賎 贱
賑 赈
賓 宾
賚 赉
賛 赞
賜 赐
賞 赏
賠 赔
賢 贤
賣 卖
賤 贱
賦 赋
質 质
賭 赌
賺 赚
賻 赙
購 购
賽 赛
贄 贽
贅 赘
贈 赠憎
贊 赞
贋 赝
贍 赡
贏 赢
贐 赆
贓 赃
贖 赎
赤 赤
赦 赦
赧 赧
赫 赫
赭 赭
走 走
赱 走
赳 赳
赴 赴
起 起
趁 趁
超 超
越 越
趙 赵
趣 趣
趨 趋
足 足
趺 趺
趾 趾
跋 跋
跌 跌
跏 跏
跖 跖
跚 跚
跛 跛
距 距
跟 跟
跡 迹速
跣 跣
跨 跨
跪 跪
跫 跫
路 路
跳 跳
践 践
跼 局
踉 踉
踊 踊
踏 踏蹋
踐 践
踝 踝
踞 踞
踟 踟
踪 踪
踰 逾
踴 踊
踵 踵
蹂 蹂
蹄 蹄
蹇 蹇
蹈 蹈
蹉 蹉
蹊 蹊
蹌 跄
蹕 跸
蹙 蹙
蹟 迹速
蹠 跖
蹣 蹒
蹤 踪
蹲 蹲
蹴 蹴
蹶 蹶
蹼 蹼
躁 躁
躅 躅
躇 躇
躊 踌
躋 跻
躍 跃
躑 踯
躓 踬
躔 躔
躙 躏
躡 蹑
躪 躏
身 身
躬 躬
躯 躯
躰 体
躱 躲
軆 体
車 车
軋 轧
軌 轨
軍 军
軒 轩
軛 轭
軟 软
転 转
軣 轰
軫 轸
軸 轴
軻 轲
軼 轶
軽 轻
軾 轼
較 较
輅 辂
載 载
輊 轾
輌 辆
輒 辄
輓 挽
輔 辅
輕 轻
輙 辄
輛 辆
輜 辎
輝 辉
輟 辍
輦 辇
輩 辈
輪 轮
輯 辑
輳 辏
輸 输
輻 辐
輾 辗
輿 舆
轂 毂
轄 辖
轅 辕
轆 辘
轉 转
轍 辙
轎 轿
轟 轰
轡 辔
轢 轹
轣 轹
轤 轳
辛 辛
辜 辜
辞 辞
辟 辟避
辣 辣
辧 辨弁
辨 辨弁辩瓣办辫
辭 辞
辮 辫
辯 辩辨弁
辰 辰
辱 辱
農 农
辺 边
迂 迂遇
迄 迄
迅 迅
迎 迎
近 近
返 返
迢 迢
迥 迥
迦 迦
迩 迩
迪 迪
迫 迫
迭 迭叠
迯 逃
述 述
迴 回
迷 迷
迸 迸
迹 迹速
迺 乃
追 追
退 退
送 送
逃 逃
逅 逅遘
逆 逆
逋 逋
逍 逍
逎 遒
透 透
逐 逐
逑 逑
逓 递
途 途
逕 迳径
逖 逖
逗 逗
這 这
通 通
逝 逝
逞 逞期
速 速迹
造 造
逡 逡
逢 逢
連 连
逮 逮迨
週 周
進 进
逵 逵
逶 逶
逸 逸
逹 达
逼 逼
逾 逾
遁 遁
遂 遂
遅 迟
遇 遇迂
遊 游
運 运
遍 遍
過 过
遏 遏
遐 遐
遑 遑徨
遒 遒
道 道
達 达
違 违
遘 遘逅
遙 遥
遜 逊
遞 递
遠 远
遡 溯
遣 遣
遥 遥
遨 遨
適 适
遭 遭糟
遮 遮
遲 迟
遵 遵
遶 绕
遷 迁
選 选
遺 遗
遼 辽
遽 遽
避 避辟
邀 邀
邁 迈
邂 邂
邃 邃
還 还
邇 迩
邉 边
邊 边
邏 逻
邑 邑阝
那 那
邦 邦
邨 村
邪 邪
邯 邯
邱 邱
邵 邵
邸 邸
郁 郁
郊 郊
郎 郎
郛 郛
郡 郡
郢 郢
郤 郄
部 部卩
郭 郭
郵 邮
郷 乡
都 都
鄂 鄂
鄒 邹
鄙 鄙
鄭 郑
鄰 邻
鄲 郸
酉 酉酋
酊 酊
酋 酋酉
酌 酌
配 配
酎 酎
酒 酒
酔 醉
酖 鸩
酢 酢醋榨
酣 酣
酥 酥
酩 酩
酪 酪
酬 酬
酲 酲
酵 酵
酷 酷
酸 酸
醇 醇
醉 醉
醋 醋酢
醍 醍
醐 醐
醒 醒惺
醜 丑
醢 醢
醤 酱
醪 醪
醫 医
醯 醯
醴 醴
醵 醵
醸 酿
醺 醺
釀 酿
釁 衅
釆 采
采 采
釈 释
釉 釉
釋 释
里 里
重 重
野 野
量 量
釐 厘廛
金 金钅
釖 剑
釘 钉
釜 釜
針 针箴
釡 釜
釣 钓
釦 扣
釧 钏
釵 钗叉
釼 剑
鈍 钝
鈎 钩
鈑 钣
鈔 钞
鈕 钮
鈞 钧
鈬 铎
鈴 铃
鈷 钴
鈿 钿
鉄 铁锇
鉅 钜巨
鉈 铊砣
鉉 铉
鉋 刨
鉗 钳箝
鉚 铆
鉛 铅
鉞 钺
鉢 钵
鉤 钩
鉦 钲
鉱 矿磺
銀 银
銃 铳
銅 铜
銑 铣
銓 铨
銕 铁锇
銖 铢
銘 铭
銚 铫
銜 衔
銭 钱
銷 销
銹 锈
鋏 铗
鋒 锋
鋤 锄
鋪 铺
鋭 锐
鋳 铸
鋸 锯
鋼 钢
錆 锖
錐 锥
錘 锤
錙 锱
錚 铮
錠 锭
錢 钱
錦 锦
錨 锚
錫 锡
錬 炼链
錮 锢
錯 错
録 录
鍋 锅
鍍 镀
鍔 锷
鍛 锻煅
鍬 锹
鍵 键
鍼 针箴
鍾 钟锺
鎌 镰
鎔 熔
鎖 锁
鎗 枪
鎚 锤
鎧 铠
鎬 镐
鎭 镇
鎮 镇
鎰 镒
鏃 镞
鏈 链
鏐 鎏
鏑 镝
鏖 鏖
鏗 铿
鏘 锵
鏝 镘
鏡 镜
鏤 镂
鏥 锈
鏨 錾
鐃 铙
鐐 镣
鐓 镦
鐔 镡
鐘 钟锺
鐙 镫
鐡 铁锇
鐫 镌
鐵 铁锇
鐶 锾
鐸 铎
鐺 铛
鑄 铸
鑑 鉴监
鑒 鉴监
鑚 钻
鑛 矿
鑠 铄烁
鑰 钥
鑵 罐
鑷 镊
鑼 锣
鑽 钻
鑾 銮
鑿 凿
钁 镢
長 长
門 门
閂 闩
閃 闪
閇 闭
閉 闭
開 开
閏 闰
閑 闲
間 间
閔 闵
閘 闸
閙 闹
閠 闰
関 关
閣 阁
閤 阖合
閥 阀
閧 哄
閨 闺
閭 闾
閲 阅
閹 阉
閻 阎闫
閼 阏
閾 阈
闃 阒
闇 暗
闊 阔
闌 阑
闔 阖
闕 阙
闖 闯
闘 斗
關 关寡
闡 阐
闢 辟
闥 闼
阜 阜阝
阡 阡仟
阨 厄呃
阪 阪坂
阮 阮
阯 址
防 防
阻 阻
阿 阿啊
陀 陀
陂 陂坡
附 附
陋 陋
陌 陌
降 降
陏 隋
限 限
陛 陛
陜 陕狭
陝 陕
陞 升
陟 陟
院 院
陣 阵陈
除 除
陥 陷
陪 陪
陬 陬
陰 阴
陲 陲
陳 陈阵
陵 陵
陶 陶
陷 陷
陸 陆六
険 险
陽 阳
隅 隅
隆 隆
隈 隈偎
隊 队
隋 隋
隍 隍
階 阶
随 随
隔 隔
隕 陨殒
隗 隗
隘 隘
隙 隙郄
際 际
障 障
隠 隐
隣 邻
隧 隧
隨 随
險 险
隰 隰
隱 隐
隲 骘
隴 陇
隶 隶
隷 隶
隸 隶
隹 隹
隻 只
隼 隼
雀 雀
雁 雁
雄 雄
雅 雅
集 集
雇 雇
雉 雉
雋 隽
雌 雌
雍 雍邕
雎 雎
雑 杂
雕 雕凋
雖 虽
雙 双
雛 雏
雜 杂
離 离
難 难
雨 雨驭
雪 雪
雰 氛
雲 云
零 零
雷 雷
雹 雹
電 电
需 需
霄 霄
霆 霆
震 震
霈 霈
霊 灵
霍 霍
霎 霎
霏 霏
霑 沾
霓 霓
霖 霖
霜 霜孀
霞 霞
霤 溜
霧 雾
霪 霪
霰 霰
露 露
霸 霸
霹 霹
霽 霁
霾 霾
靂 雳
靄 霭
靈 灵
青 青
靖 靖
静 静
靜 静靓
非 非
靠 靠
靡 靡
面 面
靤 疱
靦 腼
靨 靥
革 革
靭 韧
靱 韧
靴 靴
靼 靼
鞅 鞅
鞋 鞋
鞍 鞍
鞏 巩
鞘 鞘
鞠 鞠
鞣 鞣
鞦 秋
鞫 鞫
鞭 鞭
鞴 鞴
韃 鞑
韆 千仟
韈 袜
韋 韦
韓 韩
韜 韬
韭 韭艽
韮 韭
韲 齑
音 音
韵 韵
韶 韶
韻 韵
響 响
頁 页
頂 顶
頃 顷
項 项
順 顺
須 须
頌 颂
頏 颃
預 预豫
頑 顽
頒 颁
頓 顿
頗 颇
領 领
頚 颈
頡 颉
頤 颐
頬 颊
頭 头
頴 颖
頷 颔
頸 颈
頻 频
頼 赖
頽 颓
顆 颗
顋 腮鳃
題 题
額 额
顎 颚
顏 颜
顔 颜
顕 显
願 愿
顛 颠
類 类
顧 顾
顫 颤
顯 显
顰 颦
顱 颅
顳 颞
顴 颧
風 风
颯 飒
颱 台
颶 飓
飃 飘
飄 飘
飆 飙
飛 飞
飜 翻
食 食饣
飢 饥
飩 饨
飫 饫
飭 饬
飮 饮
飯 饭
飲 饮
飴 饴
飼 饲
飽 饱
飾 饰
餃 饺
餅 饼
餉 饷
養 养
餌 饵
餐 餐
餒 馁
餓 饿
餔 哺
餘 余馀
餝 饰
餞 饯
餠 饼
餡 馅
館 馆
餮 餮
餽 馈
餾 馏
饅 馒
饉 馑
饋 馈匮柜
饌 馔
饑 饥
饒 饶
饕 饕叨
饗 飨
首 首
馗 馗
馘 馘
香 香
馥 馥
馨 馨
馬 马
馭 驭御
馮 冯
馳 驰
馴 驯
駁 驳
駄 驮
駅 驿
駆 驱
駈 驱
駐 驻
駑 驽
駒 驹
駕 驾
駘 骀
駛 驶
駝 驼
駟 驷
駢 骈
駭 骇
駮 驳
駱 骆
駿 骏
騁 骋
騅 骓
騎 骑
騏 骐
騒 骚
験 验
騙 骗
騫 骞
騰 腾
騷 骚
騾 骡
驀 蓦
驂 骖
驃 骠
驅 驱
驍 骁
驕 骄
驗 验
驚 惊
驛 驿
驟 骤
驢 驴
驤 骧
驥 骥
驩 欢
驪 骊
骨 骨
骰 骰
骸 骸
骼 骼
髀 髀
髄 髓
髏 髅
髑 髑
髓 髓
體 体
高 高
髟 髟
髣 仿彷
髦 髦
髪 发
髫 髫
髭 髭
髮 发
髯 髯
髴 佛
髻 髻
鬆 松
鬚 须
鬟 鬟
鬢 鬓
鬣 鬣
鬥 斗门
鬧 闹
鬨 哄
鬩 阋
鬪 斗
鬮 阄
鬯 鬯
鬱 郁
鬲 鬲
鬻 鬻粥
鬼 鬼
魁 魁
魂 魂
魃 魃
魄 魄
魅 魅
魍 魍
魎 魉
魏 魏巍
魑 魑
魔 魔
魘 魇
魚 鱼
魯 鲁
魴 鲂
鮃 鲆
鮎 鲇
鮑 鲍
鮒 鲋
鮪 鲔
鮫 鲛
鮭 鲑
鮮 鲜
鯀 鲧
鯉 鲤
鯊 鲨
鯔 鲻
鯖 鲭
鯛 鲷
鯡 鲱
鯢 鲵
鯤 鲲
鯨 鲸
鯰 鲇鲶
鰈 鲽
鰉 鳇
鰌 鳅鱿
鰍 鳅
鰐 鳄
鰒 鳆
鰓 鳃腮
鰕 虾
鰥 鳏
鰭 鳍
鰲 鳌
鰹 鲣
鰻 鳗
鰾 鳔
鱈 鳕
鱒 鳟
鱗 鳞
鱠 脍
鱧 鳢
鱸 鲈
鳥 鸟
鳧 凫
鳩 鸠
鳫 雁
鳬 凫
鳳 凤
鳴 鸣
鳶 鸢
鴆 鸩
鴇 鸨
鴈 雁
鴉 鸦
鴎 鸥
鴕 鸵
鴛 鸳
鴟 鸱
鴣 鸪
鴦 鸯
鴨 鸭
鴬 莺
鴻 鸿
鴿 鸽
鵄 鸱
鵑 鹃
鵜 鹈
鵝 鹅
鵞 鹅
鵠 鹄
鵡 鹉
鵬 鹏
鵯 鹎
鵲 鹊
鶇 鸫
鶉 鹑
鶏 鸡
鶚 鹗
鶩 鹜
鶫 鸫
鶯 莺
鶴 鹤
鶻 鹘
鷂 鹞
鷄 鸡
鷓 鹧
鷙 鸷
鷦 鹪
鷯 鹩
鷲 鹫
鷸 鹬
鷹 鹰
鷺 鹭
鸚 鹦
鸛 鹳
鸞 鸾
鹵 卤
鹸 硷碱
鹹 咸
鹽 盐
鹿 鹿
麁 粗
麈 麈
麋 麋
麒 麒
麓 麓
麕 麇
麗 丽
麝 麝
麟 麟
麥 麦
麦 麦
麩 麸
麪 面
麸 麸
麹 麴
麺 面
麻 麻
麼 么麽
麾 麾
黄 黄
黌 黉
黍 黍
黎 黎
黏 黏粘
黒 黑
黔 黔
默 默嘿
黙 默
黛 黛
黜 黜
黝 黝
點 点
黠 黠
黥 黥
黨 党
黯 黯
黴 霉
黷 黩
黹 黹
黻 黻
黼 黼
黽 黾
鼇 鳌
鼈 鳖
鼎 鼎
鼓 鼓
鼕 冬
鼠 鼠
鼡 鼠
鼬 鼬
鼻 鼻
鼾 鼾
齊 齐斋
齋 斋齐
齎 赍
齏 齑
齒 齿
齔 龀
齟 龃
齠 龆
齡 龄
齢 龄
齣 出
齦 龈啃
齧 啮
齪 龊
齬 龉
齲 龋
齶 腭
齷 龌
龍 龙
龕 龛
龜 龟
龝 秋
龠 龠
