一 一壹
堀 堀
堂 堂
堅 坚
堆 堆
堊 垩圣
堋 堋
堕 堕
堙 堙
堝 埚
堡 堡
堤 堤
堪 堪
堯 尧
堰 堰
報 报
場 场
堵 堵
堺 界
堽 岗冈
塁 垒
塊 块
塋 茔
塑 塑
塒 埘
塔 塔
塗 涂
塘 塘
塚 冢中
塞 塞
塢 坞邬
塩 盐
填 填
塲 场
塵 尘
塹 堑
塾 塾孰
境 境
墅 墅
墓 墓
増 增
墜 坠
墟 墟
墨 墨
墫 樽
墮 堕
墳 坟
墻 墙
墾 垦
壁 壁
壅 壅
壇 坛
壊 坏
壌 壤
壑 壑
壓 压
壕 壕
壘 垒
壙 圹
壜 坛
壞 坏
壟 垄
壤 壤
士 士
壬 壬
壮 壮
壯 壮
声 声
壱 壹
売 卖
壷 壶
壹 壹搋一
壺 壶
壻 婿
壽 寿
夂 夂
変 变
夊 攵
夏 夏
夕 夕
外 外舀
夘 卯
夙 夙
多 多
夛 多
夜 夜
夢 梦
夥 夥伙
大 大
天 天
太 太
夫 夫
夭 夭
央 央
失 失
夲 本
夷 夷
夸 夸
夾 夹
奄 奄
奇 奇
奈 奈柰
奉 奉
奎 奎
奏 奏
奐 奂
契 契
奔 奔
奕 奕弈
套 套
奘 奘
奚 奚
奠 奠
奢 奢
奥 奥
奧 奥
奨 奖
奩 奁
奪 夺
奬 奖
奮 奋
女 女
奴 奴
奸 奸
好 好
妁 妁
如 如
妃 妃
妄 妄
妊 妊
妍 妍
妓 妓
妖 妖
妙 妙
妝 妆
妣 妣
妥 妥
妨 妨
妬 妒
妲 妲
妹 妹
妻 妻
妾 妾
姆 姆姥佬
姉 姊姐
始 始
姐 姐姊
姑 姑
姓 姓
委 委
姙 妊
姚 姚
姜 姜
姥 姥姆
姦 奸
姨 姨
姪 侄
姫 姬
姻 姻
姿 姿
威 威
娃 娃
娉 娉
娑 娑
娘 娘
娚 喃
娜 娜
娟 娟
娠 娠
娥 娥
娩 娩
娯 娱
娶 娶
娼 娼
婀 婀
婁 娄
