一 一壹弌
嘤 嚶
嘱 囑嘱
嘲 嘲
嘴 咀嘴觜
嘶 嘶
嘻 咥
嘿 默
噌 噌
噎 噎
噤 噤
器 器噐
噪 噪譟
噫 噫
噬 噬
嚆 嚆
嚏 嚏嚔
嚣 囂
嚼 嚼
囊 嚢
囗 囗
囚 囚
四 四肆
回 回迴囘廻
囟 幸倖
因 因
团 團団
园 園薗
困 困
围 圍囲
囹 囹
固 固
国 國国圀
图 圖図
囿 囿
圃 圃
圄 圄
圆 圓円
圈 圈圏
圉 圉
圜 圜
土 土
圣 堊聖
在 在
圭 圭珪
地 地
圹 壙
场 場塲
圻 圻垠
址 址阯
坂 阪坂
均 均
坊 坊
坎 坎
坏 坏壞壊
坐 坐座
坑 坑
块 塊
坚 堅
坛 壇壜
坞 塢
坟 墳
坠 墜
坡 坡陂
坤 坤
坦 坦
坩 坩
坪 坪
坫 店
坭 泥
坯 坏
垂 垂埀
垄 壟
型 型
垒 壘塁
垓 垓
垠 圻垠
垢 垢
垣 垣
垤 垤
垦 墾
垩 堊聖
埃 埃
埋 埋
城 城
埒 埒埓
埔 埔
埘 塒
埚 堝
域 域譽
埠 埠
埴 埴
培 培
基 基拯
埽 掃
堀 堀
堂 堂
堆 堆
堇 菫
堋 堋
堑 塹
堕 墮堕
堙 堙
堡 堡
堤 堤
堪 堪
堰 堰
堵 堵
塑 塑
塔 塔
塘 塘
塞 塞
填 填
塾 塾孰
境 境
墅 墅
墓 墓
墙 牆墻
增 増
墟 墟
墨 墨
壁 壁
壅 壅
壑 壑
壕 壕
壤 壤壌
士 士
壬 壬
壮 壯壮
声 聲声
壳 殼殻
壶 壺壷
壹 一壹壱弌
夂 夂
处 處処
备 備
复 覆復複
夏 夏
夕 夕
外 外
夙 夙
多 多夛
夜 夜
夥 夥
大 大
天 天
太 太
夫 夫
夭 夭殀
央 央
失 失
头 頭
夷 夷
夸 夸誇
夹 夾
夺 奪
奁 奩匳
奂 奐
奄 奄
奇 奇竒
奈 奈
奉 奉
奋 奮
奎 奎
奏 奏
契 契
奔 奔犇
奕 奕
奖 獎奨奬
套 套
奘 奘弉
奚 奚
奠 奠
奢 奢
奥 奧奥
女 女
奴 奴
奸 奸姦
她 他
好 好
妁 妁
如 如
妃 妃
妄 妄
妆 妝粧
妇 婦
妈 媽
妊 妊姙
妍 妍
妒 妬
妓 妓
妖 妖
妙 妙
妣 妣
妥 妥
妨 妨
妪 嫗
妲 妲
妹 妹
妻 妻
妾 妾
姆 姆姥
姊 姐姉
始 始
姐 姐姉
姑 姑
姓 姓
委 委
姚 姚
姜 姜薑
姥 姆姥
姨 姨
姬 姫
姻 姻
姿 姿
威 威
娃 娃
娄 婁
娇 嬌
娉 娉
娑 娑
娘 娘孃嬢
娜 娜
娟 娟
娠 娠暖煖
娥 娥
娩 娩
娱 娯
娴 嫻嫺
娶 娶
娼 娼
婀 婀
婆 婆
婉 婉
婚 婚
婢 婢
婪 婪
婴 嬰
婵 嬋
婿 婿壻聟
媒 媒
媚 媚
媛 媛
媪 媼
媾 媾
嫁 嫁
嫂 嫂
嫉 嫉
嫌 嫌
嫔 嬪
嫖 嫖
嫡 嫡
嫣 嫣
嫦 嫦
嫩 嫩
嬉 嬉
嬖 嬖
嬲 嬲惱嫐
孀 孀霜
子 只子
孑 孑
孔 孔
孕 孕
字 字
