一 一壹弌
酱 醤
酲 酲
酵 酵
酷 酷
酸 酸
酹 儡
酿 釀醸
醇 醇
醉 醉酔
醋 酢醋
醍 醍
醐 醐
醒 惺醒
醢 醢
醪 醪
醯 醯
醴 醴
醵 醵
醺 醺
采 采採釆
釉 釉
释 釋釈
里 里裡裏浬
重 重
野 野埜
量 量
金 金
釜 釜釡
鉴 鑑鑒
銮 鑾
錾 鏨
鎏 鏐
鏖 鏖
钅 金
针 箴針鍼
钉 釘
钏 釧
钓 釣
钗 叉釵
钜 巨鉅
钝 鈍
钞 鈔
钟 鍾鐘
钢 鋼
钣 鈑
钥 鑰
钦 欽
钧 鈞
钩 鉤鈎
钮 鈕
钯 耙
钱 錢銭
钲 鉦
钳 箝鉗
钴 鈷
钵 鉢
钺 戉鉞
钻 鑽鑚
钿 鈿
铁 銕鐵鉄鐡
铃 鈴
铄 爍鑠
铅 鉛
铆 鉚
铉 鉉
铊 鉈
铎 鐸鈬
铗 鋏
铙 鐃
铛 鐺
铜 銅
铠 鎧
铢 銖
铣 銑
铨 銓
铫 銚
铭 銘
铮 錚
铳 銃
银 銀
铸 鑄鋳
铺 舖鋪舗
链 鏈錬
铿 鏗
销 銷
锁 鎖
锄 耡鋤
锅 鍋
锇 銕鐵鉄鐡
锈 銹鏥
锋 鋒
锐 鋭
锖 錆
错 錯
锚 錨
锡 錫
锢 錮
锣 鑼
锤 錘鎚
锥 錐
锦 錦
锭 錠
键 鍵
锯 鋸
锱 錙
锵 鏘
锷 鍔
锹 鍬
锺 鍾鐘
锻 鍛
锾 鐶
镀 鍍
镂 鏤
镇 鎮鎭
镊 鑷
镌 鐫
镐 鎬
镒 鎰
镘 鏝
镜 鏡
镝 鏑
镞 鏃
镡 鐔
镢 钁
镣 鐐
镦 鐓
镫 鐙
镰 鎌
长 長
门 斗門鬥
闩 閂
闪 閃
闫 閻
闭 閉閇
问 問
闯 闖
闰 閏閠
闲 閑
间 間
闵 閔
闷 悶懣
闸 閘
闹 鬧閙
闺 閨
闻 聞
闼 闥
闾 閭
阀 閥
阁 閣
阄 鬮
阅 閲
阈 閾
阉 閹
阋 鬩
阎 閻
阏 閼
阐 闡
阑 闌
阒 闃
阔 闊濶
阖 合閤闔
阙 闕
阜 阜
阝 邑阜
队 隊
阡 仟阡
阪 阪坂
阮 阮
阱 穽
防 防
阳 昜陽暘
阴 陰
阵 陣陳
阶 階
阻 阻
阿 窕阿
陀 陀
陂 坡陂
附 附
际 際
陆 六陸
陇 隴
陈 陣陳
陋 陋
陌 陌
降 降
限 限
陔 垓
陕 陜陝
陛 陛
陟 陟
院 院
除 除
陨 殞隕
险 險険
陪 陪
陬 陬
陲 陲
陵 陵
陶 陶
陷 陷陥
隅 隅
隆 隆
隈 隈
隋 隋陏
隍 隍
随 隨随
隐 隱隠
隔 隔
隗 隗
隘 隘
隙 隙
障 障
隧 隧
隰 隰
隶 隸隶隷
隹 隹
隼 隼
隽 雋
难 難
雀 雀
雁 雁鴈鳫
雄 雄
雅 雅
集 集
雇 雇
雉 雉
雌 雌
雍 雍
雎 雎
雏 雛
雕 凋雕彫
雠 仇讎讐
雨 雨
雪 雪
雳 靂
零 零
雷 雷
雹 雹
雾 霧
需 需
霁 霽
霄 霄
霆 霆
震 震
霈 霈
霉 黴
霍 霍癨
霎 霎
霏 霏
霓 霓
霖 霖
霜 孀霜
霞 霞
霪 霪
霭 靄
霰 霰
露 露
霸 霸覇
霹 霹
霾 霾
青 青
靓 靜
靖 靖
静 靜静
非 非
靠 靠
靡 靡
面 面麪麺
靥 靨
革 革
靴 靴
靼 靼
鞅 鞅
鞋 鞋
鞍 鞍
鞑 韃
鞒 橇
鞘 鞘
鞠 鞠
鞣 鞣
鞫 鞫
鞭 鞭
鞴 鞴
韦 韋
韧 靭靱
韩 韓
韬 韜
韭 韭韮
音 音
韵 韻韵
韶 韶
页 頁
顶 頂
顷 頃
项 項
顺 順
须 須鬚
顽 頑
顾 顧
顿 頓
颁 頒
颂 頌
颃 頏
预 豫預
颅 顱
领 領
颇 頗
颈 頸頚
颉 頡
颊 頬
颍 潁
颐 頤
频 頻
颓 頽
颔 頷
颖 署穎頴
颗 顆
题 題
颚 顎
颜 顏顔
额 額
颞 顳
颠 顛
颢 皓
颤 顫
颦 顰
颧 顴
风 風
飒 颯
飓 颶
飘 飄飃
飙 飆
飞 飛
食 食
飨 饗
餐 餐喰
餮 餮
饕 叨饕
饣 食
饥 飢饑
饨 飩
饫 飫
饬 飭
饭 飯
饮 飲飮
饯 餞
饰 飾餝
饱 飽
饲 飼
饴 飴
饵 餌
饶 饒
饷 餉
饺 餃
饼 餅餠
饿 餓
馀 予余餘
馁 餒
馅 餡
馆 館舘
馈 匱櫃餽饋
馍 糢
馏 餾
馑 饉
馒 饅
馔 饌
首 首
馗 馗
馘 馘
香 香
馥 馥
馨 馨
马 馬
驭 御雨馭
驮 駄
驯 馴
驰 馳
驱 驅駆駈
驳 駁駮
驴 驢
驶 駛
驷 駟
驹 駒
驻 駐
驼 駝
驽 駑
驾 駕
驿 驛駅
骀 駘
骁 驍
骂 罵
骄 驕
骆 駱
骇 駭
骈 駢
骊 驪
骋 騁
验 驗験
骏 駿
骐 騏
骑 騎
骓 騅
骖 驂
骗 騙
骘 隲
骚 騷騒
骞 騫
骠 驃
骡 騾
骤 驟
骥 驥
骧 驤
骨 骨
骰 骰
骸 骸
骼 骼
髀 髀
髅 髏
髑 髑
髓 髓膸髄
高 高
髟 髟
髦 髦
髫 髫
髭 髭
髯 髯
髻 髻
鬓 鬢
鬟 鬟
鬣 鬣
鬯 鬯
鬲 鬲
鬻 粥鬻
鬼 鬼
魁 魁
魂 魂
魃 魃
魄 魄
魅 魅
魇 魘
魉 魎
魍 魍
魏 巍魏
魑 魑
魔 魔
鱼 魚
鱿 鰌
鲁 魯
鲂 魴
鲆 鮃
鲇 鯰鮎
鲈 鱸
鲋 鮒
鲍 鮑
鲑 鮭
鲔 鮪
鲛 鮫
鲜 鮮尠
鲣 鰹
鲤 鯉
鲧 鯀
鲨 鯊
鲭 鯖
鲱 鯡
鲲 鯤
鲵 鯢
鲶 鯰
鲷 鯛
鲸 鯨
鲻 鯔
鲽 鰈
鳃 腮鰓顋
鳄 鰐
鳅 鰍鰌
鳆 鰒
鳇 鰉
鳌 鰲鼇
鳍 鰭
鳏 鰥
鳔 鰾
鳕 鱈
鳖 鼈
鳗 鰻
鳞 鱗
鳟 鱒
鳢 鱧
鸟 鳥
鸠 鳩
鸡 鶏鷄
鸢 鳶
鸣 鳴
鸥 鴎
鸦 鴉
鸨 鴇
鸩 酖鴆
鸪 鴣
鸫 鶇鶫
鸭 鴨
鸯 鴦
鸱 鴟鵄
鸳 鴛
鸵 鴕
鸷 鷙
鸽 鴿
鸾 鸞
鸿 鴻
鹃 鵑
鹄 鵠
鹅 鵝鵞
鹈 鵜
鹉 鵡
鹊 鵲
鹎 鵯
鹏 鵬
鹑 鶉
鹗 鶚
鹘 鶻
鹜 鶩
鹞 鷂
鹤 鶴
鹦 鸚
鹧 鷓
鹩 鷯
鹪 鷦
鹫 鷲
鹬 鷸
鹭 鷺
鹰 鷹
鹳 鸛
鹿 鹿
麇 麕
麈 麈
麋 麋
麒 麒
麓 麓梺
麝 麝
麟 麟
麦 麥麦
麴 麹
麸 麩麸
麻 麻菻痲痳
麽 麼幺
麾 麾
黄 黄
黉 黌
黍 黍
黎 黎
黏 粘黏
黑 黒
黔 黔
默 默黙
黛 黛
黜 黜
黝 黝
黠 黠
黥 黥
黩 黷
黯 黯
黹 黹
黻 黻
黼 黼
黾 黽
鼎 鼎
鼓 鼓皷
鼠 鼠鼡
鼬 鼬
鼻 鼻
鼾 鼾
齐 齊齋斉
齑 齏韲
齿 齒歯
龀 齔
龃 齟
龄 齡齢
龆 齠
龈 齦
龉 齬
龊 齪
龋 齲
龌 齷
龙 尨龍竜
龛 龕
龟 龜亀
龠 龠籥
